# X bldgs 9 # Y bldgs 6
First Street dir West First Avenue dir South
Bldg XY: 2 8 Type: Both Quad: NW
Bldg XY: 4 8 Type: Both Quad: SE
Bldg XY: 6 8 Type: Stable Quad: SW
Bldg XY: 8 8 Type: Charge Quad: S
Bldg XY: 10 8 Type: Stable Quad: NE
Bldg XY: 2 6 Type: Both Quad: W
Bldg XY: 4 6 Type: Charge Quad: N
Bldg XY: 6 6 Type: Stable Quad: SE
Bldg XY: 8 6 Type: Charge Quad: E
Bldg XY: 10 6 Type: Both Quad: W
Bldg XY: 2 4 Type: Stable Quad: N
Bldg XY: 4 4 Type: Charge Quad: SE
Bldg XY: 6 4 Type: Stable Quad: W
Bldg XY: 8 4 Type: Both Quad: E
Bldg XY: 10 4 Type: Charge Quad: S
Bldg XY: 2 2 Type: Stable Quad: E
Bldg XY: 4 2 Type: Both Quad: N
Bldg XY: 6 2 Type: Charge Quad: W
Bldg XY: 8 2 Type: Stable Quad: S
Bldg XY: 10 2 Type: Both Quad: SW
